"","Name","Frequency"
"536","AVIANA",20
"537","BLAIR",20
"538","BRAELYNN",20
"539","CAMRYN",20
"540","DALIA",20
"541","ELLIOTT",20
"542","KARINA",20
"543","KATHRYN",20
"544","LEA",20
"545","RAELYNN",20
"546","ROBYN",20
"547","RYANN",20
"548","SAOIRSE",20
"549","SKYLA",20
"550","SYLVIA",20
"551","YARA",20
"552","AILA",19
"553","ANAYAH",19
"554","AYAH",19
"555","CANDICE",19
"556","CARA",19
"557","CELIA",19
"558","EDITH",19
"559","IRENE",19
"560","LENNOX",19
"561","MARINA",19
"562","MARWA",19
"563","REAGAN",19
"564","RITA",19
"565","ALEXANDRIA",18
"566","BRAELYN",18
"567","CASEY",18
"568","CELINA",18
"569","DIYA",18
"570","DOROTHY",18
"571","ELAINE",18
"572","ELLIOT",18
"573","EMAAN",18
"574","EMELIA",18
"575","EMERSYN",18
"576","ESTELLE",18
"577","ISOBEL",18
"578","JAZMINE",18
"579","JOELLE",18
"580","JOLENE",18
"581","LIYANA",18
"582","MAE",18
"583","MAKENZIE",18
"584","MALAK",18
"585","MEADOW",18
"586","NOA",18
"587","RANIA",18
"588","RAVEN",18
"589","ROSIE",18
"590","RYLAN",18
"591","SAGE",18
"592","SASHA",18
"593","SIA",18
"594","SPENCER",18
"595","TIANA",18
"596","WREN",18
"597","YASMIN",18
"598","AIZAH",17
"599","ALMA",17
"600","ANDIE",17
"601","AVERIE",17
"602","AYANA",17
"603","AZALEA",17
"604","BRONWYN",17
"605","CALLA",17
"606","CARLY",17
"607","CIARA",17
"608","ELLIANA",17
"609","ELLIS",17
"610","ÉMILIE",17
"611","ERIKA",17
"612","HAREEM",17
"613","HEAVEN",17
"614","HELEN",17
"615","JOYCE",17
"616","JUNIPER",17
"617","KATERINA",17
"618","KAYDENCE",17
"619","LEEN",17
"620","MARLOWE",17
"621","MINA",17
"622","NATASHA",17
"623","PENNY",17
"624","PRISHA",17
"625","SHANIA",17
"626","TIANNA",17
"627","AMÉLIE",16
"628","ANIYA",16
"629","ASTRID",16
"630","AYAT",16
"631","CAMERON",16
"632","CARTER",16
"633","CHRISTINE",16
"634","CLEMENTINE",16
"635","EMMELINE",16
"636","EVELYNN",16
"637","FRANKIE",16
"638","HENLEY",16
"639","ISRA",16
"640","JIYA",16
"641","JOANNE",16
"642","KRISHA",16
"643","LEANNE",16
"644","LILIA",16
"645","LORELEI",16
"646","LYLAH",16
"647","MADILYN",16
"648","MARTHA",16
"649","MAXINE",16
"650","NADINE",16
"651","PRIYA",16
"652","SANDRA",16
"653","SARINA",16
"654","SHARON",16
"655","SHELBY",16
"656","SIMRAN",16
"657","TERESA",16
"658","ADDILYNN",15
"659","ADELINA",15
"660","AMAL",15
"661","AMELIE",15
"662","ANDI",15
"663","ANNE",15
"664","ASHLYN",15
"665","ASHLYNN",15
"666","ASPEN",15
"667","AURELIA",15
"668","AVAH",15
"669","AVNEET",15
"670","CALISTA",15
"671","CATALINA",15
"672","DEANNA",15
"673","DELANEY",15
"674","EDIE",15
"675","EILEEN",15
"676","ELINA",15
"677","ÉLODIE",15
"678","FARAH",15
"679","FLORA",15
"680","GENESIS",15
"681","HARLYN",15
"682","IMANI",15
"683","JANELLE",15
"684","KAELYN",15
"685","KATARINA",15
"686","KAYA",15
"687","KHADIJA",15
"688","KHADIJAH",15
"689","LEIGHTON",15
"690","MADINA",15
"691","MALIYAH",15
"692","MARILYN",15
"693","MCKENZIE",15
"694","MCKINLEY",15
"695","MONROE",15
"696","NAVYA",15
"697","REBEKAH",15
"698","REINA",15
"699","REMY",15
"700","ROSEMARY",15
"701","SCARLETTE",15
"702","SKYLER",15
"703","SORAYA",15
"704","ZARAH",15
"705","ALEEZA",14
"706","ALEKSANDRA",14
"707","ALENA",14
"708","ALEXIE",14
"709","ALORA",14
"710","AMNA",14
"711","ANABIA",14
"712","ANITA",14
"713","ANTONIA",14
"714","ARYANNA",14
"715","BÉATRICE",14
"716","BLAIRE",14
"717","CORALIE",14
"718","CORDELIA",14
"719","DANIA",14
"720","DEBORAH",14
"721","ELIANNA",14
"722","ELODIE",14
"723","GRACELYNN",14
"724","JAZLYN",14
"725","KAREN",14
"726","KASSANDRA",14
"727","KATHLEEN",14
"728","LAMAR",14
"729","LEANNA",14
"730","LEENA",14
"731","LEXA",14
"732","LIYA",14
"733","MAISY",14
"734","MAJA",14
"735","MARIANA",14
"736","MARLEE",14
"737","MEGHAN",14
"738","MINAHIL",14
"739","MONICA",14
"740","NANCY",14
"741","PAITYN",14
"742","PETRA",14
"743","RAELYN",14
"744","RAYNE",14
"745","REET",14
"746","REYA",14
"747","ROBIN",14
"748","SAFIYA",14
"749","SAHAR",14
"750","SANAYA",14
"751","SHILOH",14
"752","TALA",14
"753","ZARIAH",14
"754","ABBEY",13
"755","ABBIGAIL",13
"756","ALISA",13
"757","AMANI",13
"758","ANIYAH",13
"759","ARYANA",13
"760","AUBRIE",13
"761","AVIANNA",13
"762","AYRA",13
"763","AYVA",13
"764","BLYTHE",13
"765","DAYA",13
"766","EMA",13
"767","EMMANUELLE",13
"768","EVERLEE",13
"769","FARIDA",13
"770","FARRAH",13
"771","GURNOOR",13
"772","HADASSAH",13
"773","IQRA",13
"774","IRELAND",13
"775","JAMIE",13
"776","JAYDEN",13
"777","JOHANNA",13
"778","KYLEE",13
"779","LEYLA",13
"780","LORELAI",13
"781","LUCIANA",13
"782","LYRA",13
"783","NEVE",13
"784","NIMRAT",13
"785","NOLA",13
"786","PRISCILLA",13
"787","RACHAEL",13
"788","SAKINA",13
"789","SAMA",13
"790","SHANNON",13
"791","STEVIE",13
"792","TAYA",13
"793","TINA",13
"794","ZAYNAB",13
"795","ZURI",13
"796","AGNES",12
"797","AIMEE",12
"798","ALANNA",12
"799","ALEAH",12
"800","ALISSA",12
"801","AMIYAH",12
"802","AVLEEN",12
"803","BEATRIX",12
"804","BREANNA",12
"805","BRIA",12
"806","CAITLIN",12
"807","CAITLYN",12
"808","DESIREE",12
"809","ELIA",12
"810","ÉLOÏSE",12
"811","ESMÉ",12
"812","GRETA",12
"813","HADIA",12
"814","HALLIE",12
"815","HARRIET",12
"816","HAWA",12
"817","HEATHER",12
"818","HIBA",12
"819","HOORAIN",12
"820","IMAN",12
"821","INAYAH",12
"822","IZABELLE",12
"823","JANESSA",12
"824","JANICE",12
"825","JASLEEN",12
"826","JAYDE",12
"827","JUDITH",12
"828","KAYLIE",12
"829","LAYAN",12
"830","LILLIANA",12
"831","LUCILLE",12
"832","MACIE",12
"833","MIKA",12
"834","NILA",12
"835","OAKLEY",12
"836","PAULINA",12
"837","QUEENIE",12
"838","RAEGAN",12
"839","RENEE",12
"840","SAMIRA",12
"841","SHAYLA",12
"842","SHYLA",12
"843","SIYA",12
"844","SUSIE",12
"845","TALYA",12
"846","TAMARA",12
"847","TENZIN",12
"848","VICKY",12
"849","VIOLETTE",12
"850","ADDYSON",11
"851","ALLYSON",11
"852","ALYSON",11
"853","AMINAH",11
"854","AMIRAH",11
"855","ANNABEL",11
"856","ANTONELLA",11
"857","ARIYAH",11
"858","ARWEN",11
"859","AVELINE",11
"860","AYEZA",11
"861","BAHAR",11
"862","BAYLEE",11
"863","CARINA",11
"864","CASSIE",11
"865","CATALEYA",11
"866","CECELIA",11
"867","CHANTELLE",11
"868","COURTNEY",11
"869","DARYA",11
"870","DAVINA",11
"871","DUA",11
"872","ELISHA",11
"873","ELLY",11
"874","ESMÉE",11
"875","EVELINA",11
"876","GILLIAN",11
"877","GWENYTH",11
"878","HUSNA",11
"879","IMOGEN",11
"880","ISHA",11
"881","JANNAH",11
"882","JANNAT",11
"883","JASMIN",11
"884","JAYDA",11
"885","JESSA",11
"886","JOEY",11
"887","KALEY",11
"888","KASSIDY",11
"889","KENNA",11
"890","KRISTEN",11
"891","LAINEY",11
"892","LAURYN",11
"893","LILIANNA",11
"894","LILYANNA",11
"895","LOUISA",11
"896","MACKENNA",11
"897","MADYSON",11
"898","MANREET",11
"899","MILANIA",11
"900","NELLY",11
"901","NYAH",11
"902","PIA",11
"903","PYPER",11
"904","RAHMA",11
"905","REEM",11
"906","REMI",11
"907","SAIGE",11
"908","SARGUN",11
"909","SUTTON",11
"910","TATIANA",11
"911","ZAINA",11
"912","ZENDAYA",11
"913","ZOHA",11
"914","ABRIELLE",10
"915","ADDELYN",10
"916","ADINA",10
"917","ADIRA",10
"918","ADRIENNE",10
"919","AIYANA",10
"920","ALAYA",10
"921","ALIANA",10
"922","AMILIA",10
"923","ANABELLE",10
"924","ANJALI",10
"925","AOIFE",10
"926","ARIANNE",10
"927","ASEES",10
"928","AVALYN",10
"929","AYANNA",10
"930","BEATRIZ",10
"931","BERKELEY",10
"932","BRIANNE",10
"933","CAROLYN",10
"934","CECILY",10
"935","CHANEL",10
"936","CHARLIZE",10
"937","CONSTANCE",10
"938","CRYSTAL",10
"939","DEEMA",10
"940","DEMI",10
"941","DEVON",10
"942","DINA",10
"943","EDNA",10
"944","ELISSA",10
"945","ELLEN",10
"946","EMERALD",10
"947","EMMERSON",10
"948","FERN",10
"949","FINNLEY",10
"950","GEORGINA",10
"951","GIADA",10
"952","HAILEE",10
"953","HAVEN",10
"954","HILLARY",10
"955","HOLLAND",10
"956","ILA",10
"957","IVORY",10
"958","IYLA",10
"959","KALIYAH",10
"960","KALLIE",10
"961","KARISSA",10
"962","KELSEY",10
"963","KEZIAH",10
"964","KLARA",10
"965","LILITH",10
"966","LYRIC",10
"967","MADDIE",10
"968","MADELYNN",10
